max_depth,max_depth,num_trees,tp,fn,fp,tn,accuracy,precision,recall
236/1,1,100,0,100,0,100,0.5,0,0.0
236/1,21,100,0,100,0,100,0.5,0,0.0
236/1,41,100,0,100,0,100,0.5,0,0.0
236/1,61,100,0,100,0,100,0.5,0,0.0
236/1,81,100,0,100,0,100,0.5,0,0.0
236/1,101,100,0,100,0,100,0.5,0,0.0
236/1,121,100,0,100,0,100,0.5,0,0.0
236/1,141,100,0,100,0,100,0.5,0,0.0
236/1,161,100,0,100,0,100,0.5,0,0.0
236/1,181,100,0,100,0,100,0.5,0,0.0
