main,n_cand,max_depth,num_trees,tp,fn,fp,tn,accuracy,precision,recall
2/0,2,1000000000,1,4,1,1,4,0.8,0.8,0.8
2/0,2,1000000000,1,5,0,2,3,0.8,0.7142857142857143,1.0
