main,tp,fn,fp,tn,accuracy,precision,recall
4/0,3,2,2,3,0.6,0.6,0.6
4/0,5,0,0,5,1.0,1.0,1.0
4/0,1,4,3,2,0.3,0.25,0.2
4/0,3,2,0,5,0.8,1.0,0.6
4/1,5,0,4,1,0.6,0.5555555555555556,1.0
3/0,2,3,0,5,0.7,1.0,0.4
3/1,3,2,3,2,0.5,0.5,0.6
