main,n_cand,max_depth,num_trees,tp,fn,fp,tn,accuracy,precision,recall
4/0,24,100,1,3,2,1,4,0.7,0.75,0.6
4/0,24,100,100,5,0,0,5,1.0,1.0,1.0
4/0,24,100,1,5,0,5,0,0.5,0.5,1.0
4/0,24,100,100,1,4,0,5,0.6,1.0,0.2
4/1,2,100,100,4,1,5,0,0.4,0.4444444444444444,0.8
3/0,23,100,100,2,3,1,4,0.6,0.6666666666666665,0.4
3/1,1,100,100,5,0,5,0,0.5,0.5,1.0
