main,n_cand,max_depth,num_trees,tp,fn,fp,tn,accuracy,precision,recall
6000/10,927,100,1,66,34,22,78,0.72,0.75,0.66
6000/10,927,100,100,77,23,20,80,0.785,0.7938144329896907,0.77
